NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
130033002351,GA-608-0301,1300330,GA-608,06,08,Adairsville Middle School,Bartow County,Bartow County,485 Old Highway 41 NW,Adairsville,GA,30103,,(770)606-5842,41,Rural: Fringe,No,No,Yes,Yes,730.00000,44.50000,16.4000000,335.00000,71.00000
130123000480,GA-631-0177,1301230,GA-631,06,08,Adamson Middle School,Clayton County,Clayton County,3187 Rex Rd,Rex,GA,30273,,(770)968-2925,21,Suburb: Large,No,No,Yes,Yes,596.00000,42.50000,14.0000000,593.00000,0.00000
130012004067,GA-761-0413,1300120,GA-761,PK,02,Adamsville Primary School,Atlanta Public Schools,Fulton County,286 Wilson Mill Rd SW,Atlanta,GA,30331,,(404)802-4300,11,City: Large,No,No,Yes,Yes,404.00000,28.70000,14.1000000,401.00000,0.00000
130129002022,GA-633-0289,1301290,GA-633,PK,05,Addison Elementary School,Cobb County,Cobb County,3055 Ebenezer Rd,Marietta,GA,30066,,(770)578-2700,21,Suburb: Large,No,No,No,†,617.00000,43.50000,14.2000000,169.00000,27.00000
130183000819,GA-647-1050,1301830,GA-647,09,12,Albany High School,Dougherty County,Dougherty County,801 W Residence Ave,Albany,GA,31701,,(229)431-3300,13,City: Small,No,No,Yes,Yes,837.00000,49.50000,16.9000000,834.00000,0.00000
130183000833,GA-647-0101,1301830,GA-647,06,08,Albany Middle School,Dougherty County,Dougherty County,1700 Cordell Ave,Albany,GA,31705,,(229)431-3325,13,City: Small,No,No,Yes,Yes,750.00000,43.00000,17.4000000,747.00000,0.00000
130002603496,GA-891-1298,1300026,GA-891,08,09,Albany Regional Youth Detention Center,Department of Juvenile Justice,Dougherty County,2030 Newton Rd,Albany,GA,31701,,(229)430-1958,13,City: Small,No,No,Yes,No,1.00000,–,†,–,–
130255003395,GA-667-1005,1302550,GA-667,PK,05,Alcova Elementary School,Gwinnett County,Gwinnett County,770 Ewing Chapel Rd,Dacula,GA,30019,,(678)376-8500,21,Suburb: Large,No,No,Yes,Yes,1237.00000,82.60000,15.0000000,668.00000,98.00000
130393003436,GA-707-0206,1303930,GA-707,09,12,Alcovy High School,Newton County,Newton County,14567 Highway 36,Covington,GA,30014,,(770)784-4995,41,Rural: Fringe,No,No,Yes,Yes,1964.00000,104.10000,18.9000000,1050.00000,204.00000
130186001976,GA-648-0187,1301860,GA-648,09,12,Alexander High School,Douglas County,Douglas County,6500 Alexander Pkwy,Douglasville,GA,30135,,(770)651-6000,21,Suburb: Large,No,No,No,†,1737.00000,96.70000,18.0000000,554.00000,96.00000
130042000198,GA-611-1050,1300420,GA-611,PK,05,Alexander II Magnet School,Bibb County,Bibb County,1156 College St,Macon,GA,31201,,(478)779-2679,12,City: Midsize,No,Yes,Yes,Yes,524.00000,30.90000,17.0000000,519.00000,0.00000
130183002315,GA-647-0299,1301830,GA-647,PK,05,Alice Coachman Elementary School,Dougherty County,Dougherty County,1425 W Oakridge Dr,Albany,GA,31707,,(229)431-3488,13,City: Small,No,No,Yes,Yes,567.00000,34.50000,16.4000000,564.00000,0.00000
130033001078,GA-608-0196,1300330,GA-608,PK,05,Allatoona Elementary School,Bartow County,Bartow County,4150 New Hope Church Road. NW,Acworth,GA,30101,,(770)606-5843,21,Suburb: Large,No,No,Yes,Yes,448.00000,35.20000,12.7000000,327.00000,31.00000
130129003781,GA-633-0209,1301290,GA-633,09,12,Allatoona High School,Cobb County,Cobb County,3300 Dallas Acworth Hwy NW,Acworth,GA,30101,,(770)975-6503,21,Suburb: Large,No,No,No,†,1770.00000,90.50000,19.6000000,247.00000,78.00000
130387001446,GA-706-4065,1303870,GA-706,KG,05,Allen Elementary School,Muscogee County,Muscogee County,5201 23rd Ave,Columbus,GA,31904,,(706)748-2418,12,City: Midsize,No,No,Yes,Yes,474.00000,27.00000,17.6000000,301.00000,42.00000
130402002275,GA-710-0299,1304020,GA-710,PK,05,Allgood Elementary School,Paulding County,Paulding County,312 Hart Rd,Dallas,GA,30157,,(770)443-8070,21,Suburb: Large,No,No,Yes,Yes,872.00000,56.00000,15.6000000,452.00000,87.00000
130174000667,GA-644-2050,1301740,GA-644,PK,05,Allgood Elementary School,DeKalb County,DeKalb County,659 Allgood Rd,Stone Mountain,GA,30083,,(678)676-5102,21,Suburb: Large,No,No,Yes,Yes,578.00000,43.00000,13.4000000,520.00000,29.00000
130228000974,GA-660-1050,1302280,GA-660,PK,05,Alpharetta Elementary School,Fulton County,Fulton County,192 Mayfield Rd,Alpharetta,GA,30009,,(470)254-7015,13,City: Small,No,No,No,†,572.00000,49.30000,11.6000000,93.00000,12.00000
130228003364,GA-660-0205,1302280,GA-660,09,12,Alpharetta High School,Fulton County,Fulton County,3595 Webb Bridge Rd,Alpharetta,GA,30005,,(470)254-7640,13,City: Small,No,No,No,†,2033.00000,113.60000,17.9000000,188.00000,41.00000
130117000452,GA-629-0105,1301170,GA-629,PK,05,Alps Road Elementary School,Clarke County,Clarke County,205 Alps Rd,Athens,GA,30606,,(706)548-2261,12,City: Midsize,No,No,Yes,Yes,366.00000,33.00000,11.1000000,337.00000,0.00000
130240001061,GA-663-1052,1302400,GA-663,PK,05,Altama Elementary School,Glynn County,Glynn County,5505 Altama Ave,Brunswick,GA,31525,,(912)264-3563,23,Suburb: Small,No,No,Yes,Yes,605.00000,36.70000,16.5000000,526.00000,39.00000
130006000011,GA-601-1050,1300060,GA-601,PK,05,Altamaha Elementary School,Appling County,Appling County,344 Altamaha School Rd,Baxley,GA,31513,,(912)367-3713,42,Rural: Distant,No,No,Yes,Yes,409.00000,27.30000,15.0000000,226.00000,51.00000
130438004211,GA-721-0391,1304380,GA-721,06,12,Alternative Education Center at Lamar,Richmond County,Richmond County,970 Baker Ave,Augusta,GA,30904,,(706)796-4965,12,City: Midsize,No,No,Yes,No,160.00000,24.00000,6.7000000,155.00000,0.00000
130422002766,GA-716-6595,1304220,GA-716,–,–,Alternative Learning Center,Pulaski County,†,72 Warren St,Hawkinsville,GA,31036,,(478)783-7265,†,N,No,†,†,†,†,†,†,†,†
130029004037,GA-607-6005,1300290,GA-607,–,–,Alternative School,Barrow County,Barrow County,54 Star St W,Bethlehem,GA,30620,,(770)867-2900,31,Town: Fringe,No,No,No,†,†,6.00000,†,†,†
130219000949,GA-657-1050,1302190,GA-657,PK,05,Alto Park Elementary School,Floyd County,Floyd County,528 Burnett Ferry Rd SW,Rome,GA,30165,,(706)236-1892,23,Suburb: Small,No,No,Yes,Yes,476.00000,36.00000,13.2000000,351.00000,26.00000
130255002196,GA-667-0198,1302550,GA-667,06,08,Alton C. Crews Middle School,Gwinnett County,Gwinnett County,1000 Old Snellville Hwy,Lawrenceville,GA,30044,,(770)982-6940,21,Suburb: Large,No,No,No,†,1259.00000,78.40000,16.1000000,230.00000,69.00000
130228003535,GA-660-0406,1302280,GA-660,KG,08,Amana Academy School,Fulton County,Fulton County,285 S Main St,Alpharetta,GA,30009,,(678)624-0989,13,City: Small,Yes,No,Yes,No,741.00000,28.90000,25.6000000,299.00000,88.00000
130135000578,GA-634-0102,1301350,GA-634,PK,05,Ambrose Elementary School,Coffee County,Coffee County,3753 Vickers Xing,Ambrose,GA,31512,,(912)359-5500,42,Rural: Distant,No,No,Yes,Yes,414.00000,25.60000,16.2000000,372.00000,0.00000
130462001629,GA-729-0205,1304620,GA-729,09,09,Americus Sumter 9th Grade Academy,Sumter County,Sumter County,915 N Lee St,Americus,GA,31719,,(229)924-5914,32,Town: Distant,No,No,Yes,Yes,306.00000,24.60000,12.4000000,303.00000,0.00000
130462000001,GA-729-0105,1304620,GA-729,09,12,Americus Sumter High School (Old Americus-Sumter HS S),Sumter County,Sumter County,805 Harrold Ave,Americus,GA,31709,,(229)924-3653,32,Town: Distant,No,No,Yes,Yes,1001.00000,56.10000,17.8000000,990.00000,0.00000
130123000476,GA-631-1050,1301230,GA-631,PK,05,Anderson Elementary School,Clayton County,Clayton County,4199 Old Rock Cut Rd,Conley,GA,30288,,(404)362-3820,21,Suburb: Large,No,No,Yes,Yes,552.00000,37.50000,14.7000000,549.00000,0.00000
130255004003,GA-667-1016,1302550,GA-667,PK,05,Anderson-Livsey Elementary School,Gwinnett County,Gwinnett County,4521 Centerville Hwy,Snellville,GA,30039,,(678)344-2082,21,Suburb: Large,No,No,Yes,Yes,828.00000,54.50000,15.2000000,561.00000,80.00000
130249002383,GA-666-0101,1302490,GA-666,06,08,Anita White Carson Middle School,Greene County,Greene County,1010 S Main St,Greensboro,GA,30642,,(706)453-3308,32,Town: Distant,No,No,Yes,Yes,293.00000,29.00000,10.1000000,289.00000,0.00000
130444004206,GA-785-0376,1304440,GA-785,PK,06,Anna K. Davie Elementary,Rome City,Floyd County,24 E Main St SW,Rome,GA,30161,,(706)232-4913,13,City: Small,No,No,Yes,Yes,438.00000,33.00000,13.3000000,435.00000,0.00000
130252001099,GA-726-1050,1302520,GA-726,PK,05,Anne Street Elementary School,Spalding County,Spalding County,802 Anne St,Griffin,GA,30224,,(770)229-3746,21,Suburb: Large,No,No,Yes,Yes,428.00000,27.40000,15.6000000,389.00000,23.00000
130186000860,GA-648-5052,1301860,GA-648,KG,05,Annette Winn Elementary School,Douglas County,Douglas County,3536 Veterans Memorial Hwy,Lithia Springs,GA,30122,,(770)651-3100,21,Suburb: Large,No,No,Yes,Yes,436.00000,30.40000,14.3000000,356.00000,21.00000
130498001682,GA-737-0104,1304980,GA-737,KG,03,Annie Belle Clark Primary School,Tift County,Tift County,1464 Carpenter Rd S,Tifton,GA,31793,,(229)387-2410,32,Town: Distant,No,No,Yes,Yes,789.00000,55.50000,14.2000000,747.00000,0.00000
130255001901,GA-667-0282,1302550,GA-667,PK,05,Annistown Elementary School,Gwinnett County,Gwinnett County,3150 Spain Rd,Snellville,GA,30039,,(770)979-2950,21,Suburb: Large,No,No,Yes,Yes,645.00000,46.70000,13.8000000,435.00000,59.00000
130570001833,GA-755-1050,1305700,GA-755,PK,05,Antioch Elementary School,Whitfield County,Whitfield County,1819 Riverbend Rd,Dalton,GA,30721,,(706)278-7550,23,Suburb: Small,No,No,Yes,Yes,534.00000,35.80000,14.9000000,394.00000,62.00000
130029002350,GA-607-0101,1300290,GA-607,09,12,Apalachee High School,Barrow County,Barrow County,940 Haymon Morris Rd,Winder,GA,30680,,(770)586-5111,41,Rural: Fringe,No,No,Yes,Yes,1732.00000,102.20000,16.9000000,780.00000,190.00000
130006000007,GA-601-0177,1300060,GA-601,03,05,Appling County Elementary School,Appling County,Appling County,680 Blackshear Hwy,Baxley,GA,31513,,(912)367-8640,33,Town: Remote,No,No,Yes,Yes,546.00000,39.60000,13.8000000,395.00000,43.00000
130006000010,GA-601-0103,1300060,GA-601,09,12,Appling County High School,Appling County,Appling County,482 Blackshear Hwy,Baxley,GA,31513,,(912)367-8610,33,Town: Remote,No,No,No,†,983.00000,61.60000,16.0000000,556.00000,74.00000
130006000009,GA-601-0195,1300060,GA-601,06,08,Appling County Middle School,Appling County,Appling County,2997 Blackshear Hwy,Baxley,GA,31513,,(912)367-8630,41,Rural: Fringe,No,No,Yes,Yes,752.00000,52.60000,14.3000000,464.00000,73.00000
130006000006,GA-601-0277,1300060,GA-601,PK,02,Appling County Primary School,Appling County,Appling County,678 Blackshear Hwy,Baxley,GA,31513,,(912)367-8642,33,Town: Remote,No,No,Yes,Yes,729.00000,55.20000,13.2000000,567.00000,40.00000
130042000212,GA-611-5050,1300420,GA-611,06,08,Appling Middle School,Bibb County,Bibb County,1210 Shurling Dr,Macon,GA,31211,,(478)779-2200,12,City: Midsize,No,No,Yes,Yes,609.00000,36.00000,16.9000000,604.00000,0.00000
130012002798,GA-761-0403,1300120,GA-761,06,12,APS-Forrest Hills Academy,Atlanta Public Schools,Fulton County,2930 Forrest Hills Dr SW,Atlanta,GA,30315,,(404)591-7275,11,City: Large,No,No,Yes,Yes,184.00000,21.00000,8.8000000,181.00000,0.00000
130174003915,GA-644-0610,1301740,GA-644,09,12,Arabia Mountain High School - Academy of Engineering- Medic,DeKalb County,DeKalb County,6610 Browns Mill Road,Lithonia,GA,30038,,(678)875-3602,41,Rural: Fringe,No,Yes,No,†,1345.00000,75.20000,17.9000000,529.00000,131.00000
130150002307,GA-638-0101,1301500,GA-638,PK,05,Arbor Springs Elementary,Coweta County,Coweta County,4840 Highway 29 N,Newnan,GA,30265,,(770)463-5903,21,Suburb: Large,No,No,No,†,424.00000,27.50000,15.4000000,102.00000,21.00000
130186000855,GA-648-0178,1301860,GA-648,KG,05,Arbor Station Elementary School,Douglas County,Douglas County,9999 Parkway S,Douglasville,GA,30135,,(770)651-3000,21,Suburb: Large,No,No,No,†,613.00000,37.50000,16.3000000,322.00000,43.00000
130255001902,GA-667-0382,1302550,GA-667,PK,05,Arcado Elementary School,Gwinnett County,Gwinnett County,5150 Arcado Rd SW,Lilburn,GA,30047,,(770)925-2100,21,Suburb: Large,No,No,No,†,1196.00000,77.30000,15.5000000,498.00000,99.00000
130255003838,GA-667-1710,1302550,GA-667,09,12,Archer High School,Gwinnett County,Gwinnett County,2255 New Hope Rd,Lawrenceville,GA,30045,,(678)407-7700,21,Suburb: Large,No,No,No,†,2580.00000,128.40000,20.1000000,674.00000,199.00000
130129000528,GA-633-2050,1301290,GA-633,PK,05,Argyle Elementary School,Cobb County,Cobb County,2420 Spring Rd SE,Smyrna,GA,30080,,(678)842-6800,21,Suburb: Large,No,No,Yes,Yes,405.00000,45.00000,9.0000000,336.00000,18.00000
130219000882,GA-657-0195,1302190,GA-657,03,05,Armuchee Elementary School,Floyd County,Floyd County,5075 Martha Berry Hwy NW,Rome,GA,30165,,(706)802-6758,41,Rural: Fringe,No,No,No,†,414.00000,27.70000,14.9000000,196.00000,35.00000
130219002375,GA-657-0401,1302190,GA-657,09,12,Armuchee High School,Floyd County,Floyd County,4203 Martha Berry Hwy NW,Rome,GA,30165,,(706)236-1888,23,Suburb: Small,No,No,Yes,No,559.00000,34.70000,16.1000000,169.00000,43.00000
130219002374,GA-657-0303,1302190,GA-657,06,08,Armuchee Middle School,Floyd County,Floyd County,471 Floyd Springs Rd NE,Armuchee,GA,30105,,(706)378-7924,41,Rural: Fringe,No,No,No,†,437.00000,33.30000,13.1000000,186.00000,37.00000
130150000825,GA-638-0395,1301500,GA-638,06,08,Arnall Middle School,Coweta County,Coweta County,700 Lora Smith Rd,Newnan,GA,30265,,(770)254-2765,21,Suburb: Large,No,No,Yes,Yes,934.00000,58.00000,16.1000000,335.00000,83.00000
130150000753,GA-638-1050,1301500,GA-638,PK,05,Arnco-Sargent Elementary School,Coweta County,Coweta County,2449 Highway 16 W,Newnan,GA,30263,,(770)254-2830,41,Rural: Fringe,No,No,Yes,Yes,400.00000,33.00000,12.1000000,207.00000,39.00000
130123000469,GA-631-1550,1301230,GA-631,PK,05,Arnold Elementary School,Clayton County,Clayton County,216 Stockbridge Rd,Jonesboro,GA,30236,,(770)473-2800,21,Suburb: Large,No,No,Yes,Yes,529.00000,32.00000,16.5000000,526.00000,0.00000
130387001413,GA-706-2050,1303870,GA-706,06,08,Arnold Middle School,Muscogee County,Muscogee County,2011 51st St,Columbus,GA,31904,,(706)748-2436,12,City: Midsize,No,Yes,Yes,Yes,688.00000,39.10000,17.6000000,412.00000,66.00000
130111001443,GA-628-0397,1301110,GA-628,PK,05,Arnold Mill Elementary School,Cherokee County,Cherokee County,710 Arnold Mill Rd,Woodstock,GA,30188,,(770)592-3510,21,Suburb: Large,No,No,No,†,794.00000,49.50000,16.0000000,147.00000,33.00000
130555000685,GA-751-0294,1305550,GA-751,06,08,Arthur Williams Middle School,Wayne County,Wayne County,1175 S US Highway 301,Jesup,GA,31546,,(912)427-1025,41,Rural: Fringe,No,No,Yes,Yes,668.00000,40.00000,16.7000000,430.00000,56.00000
130228001036,GA-660-5060,1302280,GA-660,PK,05,Asa Hilliard Elementary School,Fulton County,Fulton County,3353 Mount Olive Rd,East Point,GA,30344,,(470)254-8050,21,Suburb: Large,No,No,No,†,742.00000,53.30000,13.9000000,739.00000,0.00000
130174000729,GA-644-3050,1301740,GA-644,PK,05,Ashford Park Elementary School,DeKalb County,DeKalb County,2968 Cravenridge Dr NE,Brookhaven,GA,30319,,(678)676-6702,21,Suburb: Large,No,No,No,†,559.00000,44.60000,12.5000000,139.00000,20.00000
130243002175,GA-664-0292,1302430,GA-664,06,08,Ashworth Middle School,Gordon County,Gordon County,333 Newtown Rd NE,Calhoun,GA,30701,,(706)625-9545,32,Town: Distant,No,No,Yes,Yes,611.00000,45.20000,13.5000000,377.00000,75.00000
130539002516,GA-747-0101,1305390,GA-747,PK,05,Atha Road Elementary School,Walton County,Walton County,821 H D Atha Rd,Monroe,GA,30655,,(770)266-5995,21,Suburb: Large,No,No,Yes,Yes,927.00000,52.30000,17.7000000,484.00000,68.00000
130009000015,GA-602-0103,1300090,GA-602,09,12,Atkinson County High School,Atkinson County,Atkinson County,145 Rebel Ln,Pearson,GA,31642,,(912)422-3267,43,Rural: Remote,No,No,Yes,Yes,458.00000,26.20000,17.5000000,331.00000,58.00000
130009003996,GA-602-0111,1300090,GA-602,06,08,Atkinson County Middle School,Atkinson County,Atkinson County,145 Rebel Ln,Pearson,GA,31642,,(912)422-3267,43,Rural: Remote,No,No,Yes,Yes,378.00000,25.70000,14.7000000,273.00000,48.00000
130048003907,GA-613-0110,1300480,GA-613,04,06,Atkinson Elementary School,Brantley County,Brantley County,4327 Highway 110 E,Waynesville,GA,31566,,(912)778-6098,42,Rural: Distant,No,No,Yes,Yes,242.00000,20.70000,11.7000000,213.00000,0.00000
130150000748,GA-638-2050,1301500,GA-638,PK,05,Atkinson Elementary School,Coweta County,Coweta County,14 Nimmons St,Newnan,GA,30263,,(770)254-2835,21,Suburb: Large,No,No,Yes,Yes,446.00000,31.50000,14.2000000,268.00000,25.00000
130252001102,GA-726-1550,1302520,GA-726,PK,05,Atkinson Elementary School,Spalding County,Spalding County,307 Atkinson Dr,Griffin,GA,30223,,(770)229-3715,21,Suburb: Large,No,No,Yes,Yes,450.00000,30.20000,14.9000000,400.00000,27.00000
130022503061,GA-7991893-1893,1300225,GA-7991893,PK,12,Atlanta Area School for the Deaf,State Schools- Atlanta Area School for the Deaf,DeKalb County,890 N Indian Creek Dr,Clarkston,GA,30021,,(404)298-4868,21,Suburb: Large,No,No,No,†,179.00000,40.00000,4.5000000,106.00000,28.00000
130012004145,GA-761-0415,1300120,GA-761,KG,10,Atlanta Classical Academy,Atlanta Public Schools,Fulton County,3260 Northside Dr NW,Atlanta,GA,30305,,(404)369-3500,11,City: Large,Yes,No,No,†,537.00000,40.00000,13.4000000,3.00000,0.00000
130022104021,GA-7830410-0410,1300221,GA-7830410,KG,08,Atlanta Heights Charter School,Commission Charter Schools- Atlanta Heights Charter School,Fulton County,3670 Martin Luther King Jr Dr,Atlanta,GA,30331,,(404)472-3003,11,City: Large,Yes,No,Yes,Yes,739.00000,30.30000,24.4000000,646.00000,41.00000
130012002615,GA-761-0505,1300120,GA-761,KG,05,Atlanta Neighborhood Charter - Elementary,Atlanta Public Schools,Fulton County,688 Grant St SE,Atlanta,GA,30315,,(404)624-6226,11,City: Large,Yes,No,No,†,422.00000,36.00000,11.7000000,34.00000,8.00000
130012003541,GA-761-0206,1300120,GA-761,06,08,Atlanta Neighborhood Charter - Middle,Atlanta Public Schools,Fulton County,820 Essie Ave SE,Atlanta,GA,30316,,(678)904-0051,11,City: Large,Yes,No,No,†,237.00000,20.00000,11.9000000,54.00000,18.00000
130002604089,GA-891-0104,1300026,GA-891,08,12,Atlanta Youth Detention Center,Department of Juvenile Justice,Fulton County,5651 Stonewall Tell Rd,College Park,GA,30349,,(404)656-4522,21,Suburb: Large,No,No,Yes,Yes,41.00000,–,†,–,–
130029000178,GA-607-1050,1300290,GA-607,PK,05,Auburn Elementary School,Barrow County,Barrow County,1334 6th Ave,Auburn,GA,30011,,(770)963-7887,41,Rural: Fringe,No,No,Yes,Yes,770.00000,55.60000,13.8000000,453.00000,101.00000
130002603498,GA-891-1498,1300026,GA-891,07,12,Augusta Regional Youth Detention Center,Department of Juvenile Justice,Richmond County,3485 Mike Padgett Hwy,Augusta,GA,30906,,(706)771-7854,12,City: Midsize,No,No,Yes,Yes,12.00000,–,†,–,–
130002603488,GA-891-0298,1300026,GA-891,07,12,Augusta Youth Development Campus,Department of Juvenile Justice,Richmond County,3481 Mike Padgett Hwy,Augusta,GA,30906,,(706)792-7521,12,City: Midsize,No,No,Yes,Yes,79.00000,–,†,–,–
130129003529,GA-633-0207,1301290,GA-633,PK,05,Austell Elementary School,Cobb County,Cobb County,5600 Mulberry St,Austell,GA,30106,,(770)819-5804,21,Suburb: Large,No,No,Yes,Yes,567.00000,39.00000,14.5000000,406.00000,57.00000
130174000637,GA-644-0175,1301740,GA-644,PK,05,Austin Elementary School,DeKalb County,DeKalb County,5435 Roberts Dr,Dunwoody,GA,30338,,(678)874-8102,21,Suburb: Large,No,No,No,†,656.00000,41.20000,15.9000000,22.00000,5.00000
130282000378,GA-675-0294,1302820,GA-675,PK,05,Austin Road Elementary School,Henry County,Henry County,50 Austin Rd,Stockbridge,GA,30281,,(770)389-6556,41,Rural: Fringe,No,No,Yes,Yes,409.00000,28.50000,14.4000000,244.00000,27.00000
130282001663,GA-675-0397,1302820,GA-675,06,08,Austin Road Middle School,Henry County,Henry County,100 Austin Rd,Stockbridge,GA,30281,,(770)507-5407,41,Rural: Fringe,No,No,Yes,No,697.00000,39.00000,17.9000000,388.00000,48.00000
130228002886,GA-660-0305,1302280,GA-660,06,08,Autrey Mill Middle School,Fulton County,Fulton County,4110 Old Alabama Rd,Alpharetta,GA,30022,,(470)254-7622,21,Suburb: Large,No,No,No,†,1421.00000,94.50000,15.0000000,115.00000,28.00000
130111003309,GA-628-0108,1301110,GA-628,PK,05,Avery Elementary School,Cherokee County,Cherokee County,6391 E Cherokee Dr,Canton,GA,30115,,(770)479-6200,21,Suburb: Large,No,No,No,†,1002.00000,54.00000,18.6000000,167.00000,30.00000
130174000694,GA-644-5050,1301740,GA-644,PK,05,Avondale Elementary School,DeKalb County,DeKalb County,8 Lakeshore Dr,Avondale Estates,GA,30002,,(678)676-5202,21,Suburb: Large,No,No,Yes,Yes,462.00000,37.20000,12.4000000,459.00000,0.00000
130129000566,GA-633-4050,1301290,GA-633,06,08,Awtrey Middle School,Cobb County,Cobb County,3601 Nowlin Rd NW,Kennesaw,GA,30144,,(770)975-6615,21,Suburb: Large,No,No,No,†,826.00000,52.50000,15.7000000,232.00000,62.00000
130252003588,GA-726-0208,1302520,GA-726,09,12,AZ Kelsey Academy,Spalding County,Spalding County,200 a Z Kelsey Ave,Griffin,GA,30223,,(770)229-4365,21,Suburb: Large,No,No,Yes,Yes,60.00000,6.50000,9.2000000,41.00000,3.00000
130123000496,GA-631-3050,1301230,GA-631,06,08,Babb Middle School,Clayton County,Clayton County,5500 Reynolds Rd,Forest Park,GA,30297,,(404)362-3880,21,Suburb: Large,No,No,Yes,Yes,844.00000,51.50000,16.4000000,840.00000,0.00000
130015000151,GA-603-3050,1300150,GA-603,03,05,Bacon County Elementary School,Bacon County,Bacon County,523 E 16th St,Alma,GA,31510,,(912)632-4133,33,Town: Remote,No,No,Yes,Yes,483.00000,30.50000,15.8000000,418.00000,0.00000
130015002357,GA-603-0302,1300150,GA-603,09,12,Bacon County High School,Bacon County,Bacon County,1190 US Highway 1 S,Alma,GA,31510,,(912)632-4414,41,Rural: Fringe,No,No,No,†,570.00000,36.30000,15.7000000,296.00000,30.00000
130015002349,GA-603-0202,1300150,GA-603,06,08,Bacon County Middle School,Bacon County,Bacon County,1188 US Hwy 1S,Alma,GA,31510,,(912)632-4662,41,Rural: Fringe,No,No,Yes,Yes,460.00000,31.70000,14.5000000,284.00000,24.00000
130015000153,GA-603-0102,1300150,GA-603,PK,02,Bacon County Primary School,Bacon County,Bacon County,251 Cumberland Rd,Alma,GA,31510,,(912)632-4765,33,Town: Remote,No,No,Yes,Yes,632.00000,39.50000,16.0000000,547.00000,0.00000
130555000716,GA-751-0494,1305550,GA-751,PK,05,Bacon Elementary School,Wayne County,Wayne County,1425 W Orange St,Jesup,GA,31545,,(912)427-1077,32,Town: Distant,No,No,Yes,Yes,777.00000,51.20000,15.2000000,547.00000,52.00000
130369002416,GA-701-0105,1303690,GA-701,PK,12,Baconton Community Charter School,Mitchell County,Mitchell County,260 E Walton St,Baconton,GA,31716,,(229)787-9999,42,Rural: Distant,Yes,No,No,†,833.00000,50.10000,16.6000000,816.00000,0.00000
